Time,Resistance(Ohm)
18:31:47.556,Short Circuit (0 ohm)
18:31:48.058,Short Circuit (0 ohm)
18:31:48.560,Short Circuit (0 ohm)
18:31:49.062,Short Circuit (0 ohm)
18:31:49.564,Short Circuit (0 ohm)
18:31:50.066,Short Circuit (0 ohm)
18:31:50.568,Short Circuit (0 ohm)
18:31:51.070,Short Circuit (0 ohm)
18:31:51.572,Short Circuit (0 ohm)
18:31:52.074,Short Circuit (0 ohm)
18:31:52.576,Short Circuit (0 ohm)
18:31:53.078,Short Circuit (0 ohm)
18:31:53.581,Short Circuit (0 ohm)
18:31:54.083,Short Circuit (0 ohm)
18:31:54.585,Short Circuit (0 ohm)
18:31:55.087,Short Circuit (0 ohm)
18:31:55.589,Short Circuit (0 ohm)
18:31:56.091,Short Circuit (0 ohm)
18:31:56.593,Short Circuit (0 ohm)
18:31:57.096,Short Circuit (0 ohm)
18:31:57.598,Short Circuit (0 ohm)
18:31:58.100,Short Circuit (0 ohm)
18:31:58.602,Short Circuit (0 ohm)
18:31:59.104,Short Circuit (0 ohm)
18:31:59.606,Short Circuit (0 ohm)
18:32:00.108,Short Circuit (0 ohm)
18:32:00.610,Short Circuit (0 ohm)
18:32:01.112,Short Circuit (0 ohm)
18:32:01.614,Short Circuit (0 ohm)
18:32:02.116,Short Circuit (0 ohm)
18:32:02.619,Short Circuit (0 ohm)
18:32:03.121,Short Circuit (0 ohm)
18:32:03.623,Short Circuit (0 ohm)
18:32:04.125,Short Circuit (0 ohm)
18:32:04.627,Short Circuit (0 ohm)
18:32:05.130,R: 45232.56 ohm (ADC: 1945)
18:32:05.632,R: 53828.60 ohm (ADC: 2123)
18:32:06.134,R: 56863.26 ohm (ADC: 2179)
18:32:06.636,R: 57311.32 ohm (ADC: 2187)
18:32:07.139,R: 57367.59 ohm (ADC: 2188)
18:32:07.641,R: 56807.51 ohm (ADC: 2178)
18:32:08.143,R: 56143.08 ohm (ADC: 2166)
18:32:08.645,R: 55486.86 ohm (ADC: 2154)
18:32:09.147,R: 54946.18 ohm (ADC: 2144)
18:32:09.650,R: 54464.29 ohm (ADC: 2135)
18:32:10.152,R: 54357.80 ohm (ADC: 2133)
18:32:10.654,R: 53934.01 ohm (ADC: 2125)
18:32:11.156,R: 53775.98 ohm (ADC: 2122)
18:32:11.658,R: 53618.42 ohm (ADC: 2119)
18:32:12.161,R: 52323.84 ohm (ADC: 2094)
18:32:12.663,R: 51764.41 ohm (ADC: 2083)
18:32:13.165,R: 51562.50 ohm (ADC: 2079)
18:32:13.667,R: 51562.50 ohm (ADC: 2079)
18:32:14.169,R: 51562.50 ohm (ADC: 2079)
18:32:14.671,R: 51311.23 ohm (ADC: 2074)
18:32:15.173,R: 51411.59 ohm (ADC: 2076)
18:32:15.675,R: 31153.39 ohm (ADC: 1572)
18:32:16.177,R: 39763.26 ohm (ADC: 1814)
18:32:16.679,R: 42229.73 ohm (ADC: 1875)
18:32:17.181,R: 43664.23 ohm (ADC: 1909)
18:32:17.684,R: 44441.88 ohm (ADC: 1927)
18:32:18.186,R: 44879.52 ohm (ADC: 1937)
18:32:18.688,R: 45144.05 ohm (ADC: 1943)
18:32:19.190,R: 45365.62 ohm (ADC: 1948)
18:32:19.692,R: 45588.23 ohm (ADC: 1953)
18:32:20.194,R: 45767.07 ohm (ADC: 1957)
18:32:20.696,R: 45856.74 ohm (ADC: 1959)
18:32:21.198,R: 45901.64 ohm (ADC: 1960)
18:32:21.700,R: 46036.59 ohm (ADC: 1963)
